Инструмент;Рейтинг;Цена;Изм. %24ч;Рын. кап.;Объём USD 24ч;Циркул. предложение;Объём / Рын. капитализ.;Доминация в соцсетях %;Категория;Тех. рейтинг
BTC;1;85 776,32 USD;+5,61%;1,72 T USD;36,86 B USD;20,09 M;0,0214;27,11%;Криптовалюты, Сеть уровня 1;Активно покупать
ETH;2;2 748,22 USD;+4,53%;335,47 B USD;18,54 B USD;122,07 M;0,0553;10,75%;Платформы смарт-контрактов, Сеть уровня 1, Портфель World Liberty Financial;Активно покупать
USDT;3;0,99991 USD;+0,02%;183,37 B USD;85,36 B USD;183,38 B;0,4655;0,28%;Стейблкоины, Обеспеченные стейблкоины, Фиатно-обеспеченные стейблкоины, Портфель World Liberty Financial;Активно покупать
BNB;4;795,76 USD;+4,43%;105,96 B USD;2,1 B USD;133,16 M;0,0198;0,32%;Платформы смарт-контрактов, Централизованные биржи, Сеть уровня 1, Биржевые токены, Сделано в Китае;Активно покупать
XRP;5;1,4935 USD;+6,53%;93,91 B USD;4,31 B USD;62,88 B;0,0459;2,95%;Криптовалюты, Корпоративные решения, Сеть уровня 1, Сделано в США, ISO 20022;Активно покупать
USDC;6;0,99967 USD;−0,02%;74,51 B USD;16,5 B USD;74,54 B;0,2214;2,19%;Стейблкоины, Обеспеченные стейблкоины, Сделано в США, Фиатно-обеспеченные стейблкоины, Портфель World Liberty Financial;Продавать
SOL;7;117,48 USD;+7,03%;69,01 B USD;4,77 B USD;587,44 M;0,0691;12,34%;Платформы смарт-контрактов, Сеть уровня 1, Сделано в США;Активно покупать
TRX;8;0,34406 USD;+0,21%;32,67 B USD;446,69 M USD;94,96 B;0,0137;0,11%;Платформы смарт-контрактов, Платежи, Сеть уровня 1, Портфель World Liberty Financial, Сделано в Китае;Активно покупать
ZEC;9;1 478,68 USD;+1,92%;24,96 B USD;1,52 B USD;16,88 M;0,0608;4,92%;Приватные, Криптовалюты, Сеть уровня 1, Сделано в США;Покупать
HYPE;10;92,939 USD;+0,34%;23,37 B USD;1 B USD;251,41 M;0,0429;2,13%;Децентрализованные биржи, Деривативы, Сеть уровня 1, Биржевые токены, Бессрочные контракты;Покупать
DOGE;11;0,097448 USD;+11,98%;16,73 B USD;1,56 B USD;171,72 B;0,0930;1,03%;Мемы, Криптовалюты, Сеть уровня 1, Сделано в США, Мемы с животными;Активно покупать
XMR;12;573,09 USD;+4,96%;10,78 B USD;208,52 M USD;18,81 M;0,0193;0,24%;Приватные, Криптовалюты, Сеть уровня 1;Покупать
LINK;13;12,861 USD;+3,41%;9,62 B USD;528,04 M USD;748,1 M;0,0549;0,73%;Приватные, Криптовалюты, Платформы смарт-контрактов, Инструменты разработки, Оракулы, Рынки предсказаний, Интернет вещей, Управление данными и ИИ, Личные данные, NFT и коллекционные, Займы и кредиты, Управление активами, Деривативы, Страхование, Интероперабельность, Масштабирование, Корпоративные решения, Платежи, Энергетика, DeFi, Аналитика, Метавселенная, Кибербезопасность, Электронная коммерция, Спорт, Услуги в сфере недвижимости, Web3, DePIN, Сделано в США, Real-world assets (RWA), Портфель World Liberty Financial, ISO 20022;Покупать
ADA;14;0,24304 USD;+6,19%;8,93 B USD;699,1 M USD;36,75 B;0,0783;0,89%;Платформы смарт-контрактов, Сеть уровня 1, Сделано в США, ISO 20022;Активно покупать
LEO;15;8,9015 USD;−0,57%;8,19 B USD;80,58 K USD;919,86 M;0,0000;0,00%;Централизованные биржи, Платежи, Биржевые токены;Активно продавать
XLM;16;0,20744 USD;+5,92%;7,24 B USD;321,7 M USD;34,88 B;0,0445;0,16%;Криптовалюты, Платформы смарт-контрактов, Сеть уровня 1, Сделано в США, Real-world assets (RWA), Биржевые токены, ISO 20022;Активно покупать
UNI;17;8,8712 USD;+1,05%;5,51 B USD;1,07 B USD;620,79 M;0,1938;0,33%;Децентрализованные биржи, DeFi, DAO, Сделано в США, Биржевые токены;Покупать
BCH;18;262,82 USD;+4,41%;5,28 B USD;263,12 M USD;20,09 M;0,0498;0,11%;Криптовалюты, Сеть уровня 1, Сделано в США;Покупать
NEAR;19;4,0232 USD;−2,96%;5,26 B USD;2,28 B USD;1,31 B;0,4333;0,96%;Платформы смарт-контрактов, Управление данными и ИИ, Интероперабельность, Сеть уровня 1, Сделано в США;Покупать
AVAX;20;11,007 USD;−1,10%;4,87 B USD;1,5 B USD;442,89 M;0,3078;0,65%;Платформы смарт-контрактов, Сеть уровня 1, Сделано в США, Real-world assets (RWA), Портфель World Liberty Financial;Покупать
USDE;21;0,99985 USD;+0,00%;4,89 B USD;33,31 M USD;4,89 B;0,0068;0,06%;Стейблкоины, Обеспеченные стейблкоины;Активно покупать
LTC;22;62,083 USD;+5,55%;4,82 B USD;376,66 M USD;77,63 M;0,0782;0,52%;Приватные, Криптовалюты, Сеть уровня 1, Сделано в США;Активно покупать
CC;23;0,11507 USD;+6,37%;4,56 B USD;21,16 M USD;39,65 B;0,0046;—;Приватные, Криптовалюты, Платформы смарт-контрактов, Интероперабельность, Масштабирование, Корпоративные решения, Сеть уровня 1;Покупать
DAI;24;0,99994 USD;−0,17%;4,58 B USD;21,03 M USD;4,59 B;0,0046;0,01%;Стейблкоины, Обеспеченные стейблкоины, DeFi;Активно покупать
USD1;25;0,99943 USD;−0,01%;4,35 B USD;1,1 B USD;4,35 B;0,2521;—;Стейблкоины, Обеспеченные стейблкоины, Сделано в США, Портфель World Liberty Financial;Продавать
SUI;26;1,01043 USD;+13,62%;4,14 B USD;1,79 B USD;4,1 B;0,4332;0,53%;Платформы смарт-контрактов, Инструменты разработки, Масштабирование, Сеть уровня 1, Сделано в США, Портфель World Liberty Financial;Активно покупать
GRAM;27;1,4356 USD;+3,17%;4,03 B USD;76,95 M USD;2,81 B;0,0191;0,03%;Сеть уровня 1;Покупать
HBAR;28;0,090987 USD;+5,97%;3,99 B USD;248,8 M USD;43,83 B;0,0624;0,19%;Платформы смарт-контрактов, Корпоративные решения, DeFi, Сеть уровня 1, Сделано в США, Real-world assets (RWA), ISO 20022;Активно покупать
SHIB;29;0,59201e-5 USD;+7,86%;3,49 B USD;97,17 M USD;589,24 T;0,0279;0,23%;Мемы, Криптовалюты, Мемы с животными;Активно покупать
M;30;1,4780 USD;−2,01%;3,36 B USD;2,45 M USD;2,28 B;0,0007;0,00%;Мемы, Сеть уровня 1;Покупать
TAO;31;282,61 USD;+7,73%;3,26 B USD;385,74 M USD;11,54 M;0,1183;0,80%;Распред. вычисления и хранение, Оракулы, Управление данными и ИИ, DAO, Сеть уровня 1, DePIN;Активно покупать
USDG;32;0,99995 USD;−0,01%;3,25 B USD;745,23 M USD;3,25 B;0,2295;0,03%;Стейблкоины, Обеспеченные стейблкоины;Покупать
CRO;33;0,063434 USD;+6,95%;3,15 B USD;14,17 M USD;49,74 B;0,0045;0,38%;Платформы смарт-контрактов, Централизованные биржи, Платежи, Сеть уровня 1, Биржевые токены;Активно покупать
PYUSD;34;0,99970 USD;−0,01%;2,78 B USD;37,62 M USD;2,78 B;0,0135;0,01%;Стейблкоины, Обеспеченные стейблкоины, Фиатно-обеспеченные стейблкоины;Продавать
XAUT;35;4 342,65 USD;−0,64%;2,7 B USD;154,12 M USD;622,82 K;0,0570;0,02%;Real-world assets (RWA);Продавать
OKB;36;121,77 USD;+3,51%;2,56 B USD;43,2 M USD;21 M;0,0169;0,16%;Сеть уровня 1, Сделано в Китае;Активно покупать
RLUSD;37;0,99982 USD;−0,02%;2,37 B USD;406,3 M USD;2,37 B;0,1712;0,02%;Стейблкоины, Обеспеченные стейблкоины, Фиатно-обеспеченные стейблкоины;Активно продавать
AAVE;38;142,87 USD;+4,94%;2,2 B USD;349,38 M USD;15,43 M;0,1585;0,11%;Займы и кредиты, DeFi, DAO, Сделано в США, Портфель World Liberty Financial;Активно покупать
ONDO;39;0,44468 USD;+5,21%;2,17 B USD;271,69 M USD;4,87 B;0,1255;0,15%;Сделано в США, Real-world assets (RWA), Портфель World Liberty Financial;Покупать
ENA;40;0,20931 USD;−5,55%;2,11 B USD;872,17 M USD;10,1 B;0,4128;0,27%;DeFi, Портфель World Liberty Financial;Покупать
MNT;41;0,63237 USD;+4,52%;2,09 B USD;40,74 M USD;3,3 B;0,0195;0,02%;Масштабирование, DeFi, DAO, Сделано в Китае;Активно покупать
PEPE;42;0,49296e-5 USD;+23,82%;2,04 B USD;379,45 M USD;413,77 T;0,1860;0,65%;Мемы;Активно покупать
PUMP;43;0,0043150 USD;+4,54%;2,02 B USD;176,57 M USD;467,25 B;0,0876;3,28%;—;Покупать
DOT;44;1,1740 USD;+1,73%;2 B USD;228,38 M USD;1,7 B;0,1142;0,18%;Платформы смарт-контрактов, Сеть уровня 1;Покупать
